peak_mem,n_layers
0.096,1
0.098,2
0.098,3
0.349,4
0.35,5
0.35,6
2.026,7
2.026,8
2.036,9
2.405,10
2.442,11
3.152,12
3.173,13
3.22,14
4.041,15
4.414,16
5.198,17
5.277,18
4.891,19
6.684,20
6.98,21
7.283,22
7.578,23
6.128,24
11.871,25
12.461,26
9.504,27
