peak_mem,layer
18.925,1
16.855,2
5.916,3
9.462,4
8.279,5
4.152,6
4.731,7
6.134,8
4.731,9
4.213,10
2.134,11
2.363,12
3.811,13
2.363,14
2.261,15
1.625,16
0.868,17
1.722,18
0.83,19
0.545,20
0.203,21
0.194,22
1.775,23
0.032,24
0.032,25
0.3,26
0.032,27
