peak_mem,layer
5.396,0
1.2380000000000004,1
-0.8879999999999999,2
2.3789999999999996,3
-1.194,4
0.45500000000000007,5
0.2969999999999997,6
0.29300000000000015,7
0.7999999999999998,8
0.30100000000000016,9
-0.6669999999999998,10
0.23399999999999999,11
0.0009999999999994458,12
0.17400000000000126,13
0.7399999999999984,14
-0.9179999999999993,15
0.0649999999999995,16
-0.036999999999999034,17
0.06599999999999895,18
0.03700000000000081,19
-0.2469999999999999,20
0.0009999999999994458,21
-0.009000000000000341,22
1.1620000000000008,23
0.0009999999999994458,24
-0.0019999999999988916,25
0.2049999999999983,26
