peak_mem,layer
1.669,1
1.479,2
1.193,3
0.997,4
1.086,5
1.081,6
1.083,7
1.082,8
1.083,9
1.083,10
1.083,11
1.083,12
1.081,13
1.086,14
1.031,15
0.818,16
0.666,17
0.717,18
0.716,19
0.718,21
0.718,22
0.719,23
0.716,24
0.719,25
0.719,26
0.719,27
0.896,28
0.959,29
0.985,30
1.071,31
1.072,32
1.072,33
1.072,34
1.07,35
1.07,36
1.07,37
1.099,38
1.098,39
